cliente_id,mes,segmento,idade,qtd_transacoes_pix,valor_total_pix,canal_preferencial
C0001,2024-01,PF Alta Renda,64,27,10493.97,App
C0001,2024-02,PF Alta Renda,64,21,9773.31,App
C0001,2024-03,PF Alta Renda,64,20,5792.26,App
C0001,2024-04,PF Alta Renda,64,21,3242.92,App
C0001,2024-05,PF Alta Renda,64,24,3724.48,App
C0001,2024-06,PF Alta Renda,64,24,8096.93,App
C0002,2024-01,PF Varejo,59,11,1619.4,App
C0002,2024-02,PF Varejo,59,12,939.81,App
C0002,2024-03,PF Varejo,59,12,1465.99,App
C0002,2024-04,PF Varejo,59,13,1578.59,App
C0002,2024-05,PF Varejo,59,11,643.8,App
C0002,2024-06,PF Varejo,59,13,1883.93,App
C0003,2024-01,PJ Pequeno Negocio,49,47,10964.08,App
C0003,2024-02,PJ Pequeno Negocio,49,36,8586.29,App
C0003,2024-03,PJ Pequeno Negocio,49,42,8237.67,App
C0003,2024-04,PJ Pequeno Negocio,49,34,10349.18,App
C0003,2024-05,PJ Pequeno Negocio,49,45,12648.8,App
C0003,2024-06,PJ Pequeno Negocio,49,39,9030.55,App
C0004,2024-01,PF Alta Renda,68,22,7623.88,App
C0004,2024-02,PF Alta Renda,68,22,12020.12,App
C0004,2024-03,PF Alta Renda,68,27,12947.75,App
C0004,2024-04,PF Alta Renda,68,30,13787.13,App
C0004,2024-05,PF Alta Renda,68,33,17187.06,App
C0004,2024-06,PF Alta Renda,68,26,5717.73,App
C0005,2024-01,PF Varejo,25,13,1306.44,App
C0005,2024-02,PF Varejo,25,14,1763.86,App
C0005,2024-03,PF Varejo,25,15,1867.73,App
C0005,2024-04,PF Varejo,25,11,1129.04,App
C0005,2024-05,PF Varejo,25,12,1829.5,App
C0005,2024-06,PF Varejo,25,15,2153.03,App
C0006,2024-01,PJ Pequeno Negocio,70,56,17249.26,App
C0006,2024-02,PJ Pequeno Negocio,70,70,21219.41,App
C0006,2024-03,PJ Pequeno Negocio,70,58,15345.05,App
C0006,2024-04,PJ Pequeno Negocio,70,63,17965.24,App
C0006,2024-05,PJ Pequeno Negocio,70,56,12237.07,App
C0006,2024-06,PJ Pequeno Negocio,70,53,14057.89,App
C0007,2024-01,PF Alta Renda,66,13,6552.93,App
C0007,2024-02,PF Alta Renda,66,20,11176.78,App
C0007,2024-03,PF Alta Renda,66,22,13099.19,App
